営業日,営業,並盛個数,レディース個数,大盛個数,来客数計,売上計,リピート計,11~12,12~13,13~14,14~15,17~18,18~19,19~20,20~21,21~,チケ利用,同伴,Makuake,天気,客単価,曜日,月,週,年
 1月 5 (木),一日,,,,75,75450,51,13,19,11,3,0,11,8,4,6,0,0,0,1. 晴れ,1006, 4.木曜日,1,1,2017
 1月 6 (金),一日,,,,81,79350,32,7,21,17,3,3,6,8,5,11,0,0,0,1. 晴れ,980, 5.金曜日,1,1,2017
 1月 7 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,1,1,2017
 1月 8 (日),一日,,,,93,89150,43,10,14,27,11,6,8,6,5,6,0,0,0,3. 曇り雨,959, 7.日曜日,1,2,2017
 1月 9 (月),一日,,,,81,79800,37,11,16,22,13,8,4,2,3,2,0,0,0,1. 晴れ,985, 1.月曜日,1,2,2017
 1月 10 (火),一日,,,,68,66350,38,10,19,8,2,2,5,14,5,3,0,0,0,1. 晴れ,976, 2.火曜日,1,2,2017
 1月 11 (水),一日,,,,92,90150,57,8,25,11,9,7,9,5,8,10,0,0,2,1. 晴れ,980, 3.水曜日,1,2,2017
 1月 12 (木),一日,,,,84,81200,56,14,21,10,2,10,8,4,7,8,0,0,0,1. 晴れ,967, 4.木曜日,1,2,2017
 1月 13 (金),一日,,,,62,60300,41,7,16,10,7,2,3,10,3,4,0,0,0,1. 晴れ,973, 5.金曜日,1,2,2017
 1月 14 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,1,2,2017
 1月 15 (日),一日,,,,95,92500,51,20,23,13,6,5,7,13,8,0,1,1,0,1. 晴れ,974, 7.日曜日,1,3,2017
 1月 16 (月),一日,,,,45,44250,32,5,15,10,4,2,3,1,1,4,1,1,0,1. 晴れ,983, 1.月曜日,1,3,2017
 1月 17 (火),一日,,,,87,83550,50,12,20,17,5,6,10,5,4,8,0,0,0,1. 晴れ,960, 2.火曜日,1,3,2017
 1月 18 (水),一日,,,,69,65700,44,12,20,8,10,3,9,4,2,1,0,0,0,1. 晴れ,952, 3.水曜日,1,3,2017
 1月 19 (木),一日,,,,82,79350,50,16,21,12,8,3,4,3,8,7,0,0,0,1. 晴れ,968, 4.木曜日,1,3,2017
 1月 20 (金),一日,,,,83,78700,50,7,23,16,9,0,5,10,7,6,0,0,0,1. 晴れ,948, 5.金曜日,1,3,2017
 1月 21 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,1,3,2017
 1月 22 (日),一日,,,,95,93300,58,13,16,15,15,9,3,12,10,2,0,0,0,1. 晴れ,982, 7.日曜日,1,4,2017
 1月 23 (月),一日,,,,54,51100,28,3,21,11,6,3,3,0,5,2,0,0,0,2. 曇り,946, 1.月曜日,1,4,2017
 1月 24 (火),一日,,,,78,77450,49,11,17,9,8,7,5,4,10,7,0,0,0,1. 晴れ,993, 2.火曜日,1,4,2017
 1月 25 (水),一日,,,,68,62150,33,7,20,7,4,4,4,6,8,8,0,0,1,1. 晴れ,914, 3.水曜日,1,4,2017
 1月 26 (木),一日,,,,83,79550,46,15,22,14,6,4,7,5,4,6,0,0,0,1. 晴れ,958, 4.木曜日,1,4,2017
 1月 27 (金),一日,,,,87,84900,44,17,21,16,4,2,8,7,9,3,0,0,0,1. 晴れ,976, 5.金曜日,1,4,2017
 1月 28 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,1,4,2017
 1月 29 (日),一日,,,,118,112150,64,17,21,26,12,9,7,12,10,4,0,0,0,1. 晴れ,950, 7.日曜日,1,5,2017
 1月 30 (月),一日,,,,85,84200,39,20,18,6,0,3,11,10,7,10,0,0,0,1. 晴れ,991, 1.月曜日,1,5,2017
 1月 31 (火),一日,,,,92,88150,49,15,14,12,4,7,11,8,9,12,0,0,0,1. 晴れ,958, 2.火曜日,1,5,2017
 2月 1 (水),一日,,,,74,69850,41,19,17,6,9,4,3,8,6,2,0,0,0,1. 晴れ,944, 3.水曜日,2,5,2017
 2月 2 (木),一日,,,,79,75400,53,14,17,13,7,2,7,8,3,8,0,0,0,1. 晴れ,954, 4.木曜日,2,5,2017
 2月 3 (金),一日,,,,83,82300,52,8,24,14,5,4,6,6,10,6,0,0,0,1. 晴れ,992, 5.金曜日,2,5,2017
 2月 4 (土),休み,,,,,,,,,,,,,,,,,,,,,,2,5,2017
 2月 5 (日),一日,,,,100,95600,42,19,15,21,13,10,10,5,3,4,0,0,1,1. 晴れ,956, 7.日曜日,2,6,2017
 2月 6 (月),一日,,,,71,71000,45,10,12,11,5,4,7,9,3,10,0,0,0,1. 晴れ,1000, 1.月曜日,2,6,2017
 2月 7 (火),一日,,,,89,87300,68,13,23,16,5,6,7,8,6,5,0,0,0,1. 晴れ,981, 2.火曜日,2,6,2017
 2月 8 (水),一日,,,,83,83250,42,13,21,17,0,5,7,3,9,8,0,0,0,1. 晴れ,1003, 3.水曜日,2,6,2017
 2月 9 (木),一日,,,,58,57050,44,7,18,11,2,4,6,3,6,1,0,0,0,4. 雨,984, 4.木曜日,2,6,2017
 2月 10 (金),一日,,,,69,66900,44,10,11,16,7,0,1,8,12,4,0,0,0,3. 曇り雨,970, 5.金曜日,2,6,2017
 2月 11 (土),休み,,,,,,,,,,,,,,,,,,,,,,,,2017
 2月 12 (日),一日,,,,109,108300,43,20,11,19,18,4,9,12,11,5,0,0,3,1. 晴れ,994, 7.日曜日,2,7,2017
 2月 13 (月),一日,,,,81,81950,40,16,18,17,0,2,3,3,14,10,0,0,1,1. 晴れ,1012, 1.月曜日,2,7,2017
 2月 14 (火),一日,,,,80,79400,47,11,20,10,4,8,7,6,9,5,0,0,0,1. 晴れ,993, 2.火曜日,2,7,2017
 2月 15 (水),一日,,,,76,75900,41,3,18,22,5,0,9,11,5,3,2,0,0,1. 晴れ,999, 3.水曜日,2,7,2017
 2月 16 (木),一日,,,,75,75200,55,9,23,13,3,9,5,4,6,3,0,0,0,1. 晴れ,1003, 4.木曜日,2,7,2017
 2月 17 (金),一日,,,,82,79450,52,16,18,8,0,3,5,6,16,8,0,0,0,1. 晴れ,969, 5.金曜日,2,7,2017
 2月 18 (土),休み,,,,,,0,,,,,,,,,,,,,,,,,,2017
 2月 19 (日),一日,,,,119,115950,46,19,17,23,16,13,10,16,5,0,0,0,1,1. 晴れ,974, 7.日曜日,2,8,2017
 2月 20 (月),一日,,,,84,82350,47,14,22,15,6,1,7,6,5,8,0,0,0,1. 晴れ,980, 1.月曜日,2,8,2017
 2月 21 (火),一日,,,,89,87350,54,11,24,8,6,6,15,13,6,0,0,0,0,1. 晴れ,981, 2.火曜日,2,8,2017
 2月 22 (水),一日,,,,70,67600,46,6,19,9,13,6,7,2,6,2,0,0,0,2. 曇り,966, 3.水曜日,2,8,2017
 2月 23 (木),一日,,,,76,75200,48,11,10,7,8,2,9,13,12,4,1,1,0,2. 曇り,989, 4.木曜日,2,8,2017
 2月 24 (金),一日,,,,75,73050,52,15,22,11,3,3,3,5,6,7,0,0,0,3. 曇り雨,974, 5.金曜日,2,8,2017
 2月 25 (土),休み,,,,,,,,,,,,,,,,,,,,,,,,2017
 2月 26 (日),一日,,,,101,99000,56,25,13,18,14,7,5,6,7,6,0,0,0,1. 晴れ,980, 7.日曜日,2,9,2017
 2月 27 (月),一日,,,,69,68350,49,10,17,15,10,3,5,2,1,6,0,0,0,1. 晴れ,991, 1.月曜日,2,9,2017
 2月 28 (火),一日,,,,80,79250,59,10,23,9,7,8,6,5,4,8,0,0,0,1. 晴れ,991, 2.火曜日,2,9,2017
 3月 1 (水),一日,,,,65,65350,41,12,12,8,10,1,7,5,7,3,0,0,0,2. 曇り,1005, 3.水曜日,3,9,2017
 3月 2 (木),一日,,,,60,60000,41,11,20,4,6,4,4,7,1,3,0,0,0,2. 曇り,1000, 4.木曜日,3,9,2017
 3月 3 (金),一日,,,,105,102600,62,18,12,21,6,12,3,18,10,5,0,0,0,1. 晴れ,977, 5.金曜日,3,9,2017
 3月 4 (土),休み,,,,,,0,,,,,,,,,,,,,,,,,,2017
 3月 5 (日),一日,,,,105,101650,43,22,20,14,15,11,4,7,10,2,0,0,1,1. 晴れ,968, 7.日曜日,3,10,2017
 3月 6 (月),一日,,,,83,81050,52,15,17,12,5,1,7,9,8,9,0,0,0,2. 曇り,977, 1.月曜日,3,10,2017
 3月 7 (火),一日,,,,75,73950,52,11,21,13,4,5,5,3,5,8,0,0,0,1. 晴れ,986, 2.火曜日,3,10,2017
 3月 8 (水),一日,,,,80,78100,66,13,22,12,4,4,7,3,6,9,0,0,0,1. 晴れ,976, 3.水曜日,3,10,2017
 3月 9 (木),一日,,,,61,58500,46,9,19,8,5,0,4,3,9,4,0,0,0,1. 晴れ,959, 4.木曜日,3,10,2017
 3月 10 (金),一日,,,,76,73000,47,11,16,14,3,4,5,10,8,5,0,0,0,1. 晴れ,961, 5.金曜日,3,10,2017
 3月 11 (土),休み,,,,,,,,,,,,,,,,,,,,,,,,2017
